schema_version;run_id;attempt_seq;attempt_id;scenario_id;persona_id;action_id;action_name;action_type;target_system;endpoint;http_method;ts_start_utc;ts_end_utc;duration_ms;technical_status;functional_outcome;http_status_code;error_type;error_message_hash;response_size_bytes;response_body_hash;request_fingerprint
1.2;RUN_20260212T152504Z;1;RUN_20260212T152504Z__A0001;SCENARIO_1;ADMIN;step_1;POST /rest/user/login;HTTP_CALL;OWASP_JUICE_SHOP;/rest/user/login;POST;2026-02-12T15:25:04Z;2026-02-12T15:25:05Z;859;OK;ALLOW;200;;;799;0c629106f7ee5cb402a685f19cd18005014c2e8a7416ed2dbdac89dea4fe11f0;
1.2;RUN_20260212T152504Z;2;RUN_20260212T152504Z__A0002;SCENARIO_1;ADMIN;step_2;GET /metrics;HTTP_CALL;OWASP_JUICE_SHOP;/metrics;GET;2026-02-12T15:25:05Z;2026-02-12T15:25:05Z;164;OK;ALLOW;200;;;24746;67484f5c4dd92e8218a3abca1d628695434697401bd13c4f9ab0c98059172ca0;
1.2;RUN_20260212T152504Z;3;RUN_20260212T152504Z__A0003;SCENARIO_1;ADMIN;step_3;GET /rest/admin/application-configuration;HTTP_CALL;OWASP_JUICE_SHOP;/rest/admin/application-configuration;GET;2026-02-12T15:25:05Z;2026-02-12T15:25:06Z;200;OK;ALLOW;200;;;21730;834a4300379392d0abc23a4acd355eae80a855b84d7f3179cd5346cfb6c198a5;
1.2;RUN_20260212T152504Z;8;RUN_20260212T152504Z__A0004;SCENARIO_1;ADMIN;step_8;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:25:06Z;2026-02-12T15:25:06Z;234;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T152504Z;8;RUN_20260212T152504Z__A0008;SCENARIO_1;ADMIN;step_8;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:25:06Z;2026-02-12T15:25:06Z;566;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T152504Z;8;RUN_20260212T152504Z__A0007;SCENARIO_1;ADMIN;step_8;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:25:06Z;2026-02-12T15:25:06Z;765;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T152504Z;8;RUN_20260212T152504Z__A0005;SCENARIO_1;ADMIN;step_8;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:25:06Z;2026-02-12T15:25:06Z;909;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T152504Z;8;RUN_20260212T152504Z__A0006;SCENARIO_1;ADMIN;step_8;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:25:06Z;2026-02-12T15:25:07Z;999;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T152504Z;9;RUN_20260212T152504Z__A0009;SCENARIO_1;STANDARD[1];step_9;POST /rest/user/login;HTTP_CALL;OWASP_JUICE_SHOP;/rest/user/login;POST;2026-02-12T15:25:07Z;2026-02-12T15:25:07Z;579;OK;ALLOW;200;;;792;ba3d9b3917b7f5543db43a608889c4e66c5c09578c6b003328becd57b213b3a1;
1.2;RUN_20260212T152504Z;10;RUN_20260212T152504Z__A0010;SCENARIO_1;STANDARD[1];step_10;GET /metrics;HTTP_CALL;OWASP_JUICE_SHOP;/metrics;GET;2026-02-12T15:25:07Z;2026-02-12T15:25:07Z;61;OK;DENY;403;;;48;5dd51e4caa0ab7d354b63083068653bcad98445d7a7e4a1af66477bf6823d766;
1.2;RUN_20260212T152504Z;11;RUN_20260212T152504Z__A0011;SCENARIO_1;STANDARD[1];step_11;GET /rest/admin/application-configuration;HTTP_CALL;OWASP_JUICE_SHOP;/rest/admin/application-configuration;GET;2026-02-12T15:25:08Z;2026-02-12T15:25:08Z;39;OK;DENY;403;;;48;5dd51e4caa0ab7d354b63083068653bcad98445d7a7e4a1af66477bf6823d766;
1.2;RUN_20260212T152504Z;16;RUN_20260212T152504Z__A0012;SCENARIO_1;STANDARD[1];step_16;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:25:08Z;2026-02-12T15:25:11Z;3152;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T152504Z;16;RUN_20260212T152504Z__A0016;SCENARIO_1;STANDARD[1];step_16;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:25:08Z;2026-02-12T15:25:11Z;3390;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
