sep=;
RUN_ID;SCENARIO_ID;SCENARIO_NAME;PERSONA;HTTP_CODE;VERDICT;TIMESTAMP;DETAILS
RUN_20260212T151250Z;SCENARIO_1;High Assurance Auth (FIDO2);ADMIN;200;INFO;2026-02-12T15:12:50Z;High identity assurance not required for operation
RUN_20260212T151250Z;SCENARIO_1;Sensitive Data Exposure (Metrics);ADMIN;200;NORMAL;2026-02-12T15:12:51Z;Admin access allowed
RUN_20260212T151250Z;SCENARIO_1;Broken Access Control (Vertical);ADMIN;200;NORMAL;2026-02-12T15:12:51Z;Admin recognized and allowed
RUN_20260212T151250Z;SCENARIO_1;Rate Limiting & Race Condition;ADMIN;200/201;NORMAL;2026-02-12T15:12:51Z;Admin allowed (5/5)
RUN_20260212T151250Z;SCENARIO_1;High Assurance Auth (FIDO2);STANDARD[1];200;INFO;2026-02-12T15:12:52Z;High identity assurance not required for operation
RUN_20260212T151250Z;SCENARIO_1;Sensitive Data Exposure (Metrics);STANDARD[1];403;SECURE;2026-02-12T15:12:52Z;Access refused
RUN_20260212T151250Z;SCENARIO_1;Broken Access Control (Vertical);STANDARD[1];403;SECURE;2026-02-12T15:12:52Z;Properly blocked
RUN_20260212T151250Z;SCENARIO_1;Rate Limiting & Race Condition;STANDARD[1];201 (Mult);VULNERABLE;2026-02-12T15:12:52Z;Race condition successfull
RUN_20260212T151250Z;SCENARIO_1;High Assurance Auth (FIDO2);STANDARD[2];200;INFO;2026-02-12T15:12:53Z;High identity assurance not required for operation
RUN_20260212T151250Z;SCENARIO_1;Sensitive Data Exposure (Metrics);STANDARD[2];403;SECURE;2026-02-12T15:12:53Z;Access refused
RUN_20260212T151250Z;SCENARIO_1;Broken Access Control (Vertical);STANDARD[2];403;SECURE;2026-02-12T15:12:53Z;Properly blocked
RUN_20260212T151250Z;SCENARIO_1;Rate Limiting & Race Condition;STANDARD[2];201 (Mult);VULNERABLE;2026-02-12T15:12:53Z;Race condition successfull
RUN_20260212T151250Z;SCENARIO_1;High Assurance Auth (FIDO2);GUEST;200;INFO;2026-02-12T15:12:53Z;High identity assurance not required for operation
RUN_20260212T151250Z;SCENARIO_1;Sensitive Data Exposure (Metrics);GUEST;403;SECURE;2026-02-12T15:12:54Z;Access refused
RUN_20260212T151250Z;SCENARIO_1;Broken Access Control (Vertical);GUEST;403;SECURE;2026-02-12T15:12:54Z;Properly blocked
RUN_20260212T151250Z;SCENARIO_1;Rate Limiting & Race Condition;GUEST;401;SECURE;2026-02-12T15:12:54Z;Guest blocked
RUN_20260212T151250Z;SCENARIO_2;Missing Function Level Access Control;ADMIN;200;NORMAL;2026-02-12T15:12:54Z;Admin access granted
RUN_20260212T151250Z;SCENARIO_2;Broken Access Control / IDOR (Impersonation);ADMIN;201;NORMAL;2026-02-12T15:12:55Z;Done
RUN_20260212T151250Z;SCENARIO_2;Missing Function Level Access Control;STANDARD[1];403;SECURE;2026-02-12T15:12:55Z;Access blocked
RUN_20260212T151250Z;SCENARIO_2;Broken Access Control / IDOR (Impersonation);STANDARD[1];403;SECURE;2026-02-12T15:12:55Z;Done
RUN_20260212T151250Z;SCENARIO_2;Missing Function Level Access Control;STANDARD[2];403;SECURE;2026-02-12T15:12:56Z;Access blocked
RUN_20260212T151250Z;SCENARIO_2;Broken Access Control / IDOR (Impersonation);STANDARD[2];403;SECURE;2026-02-12T15:12:56Z;Done
RUN_20260212T151250Z;SCENARIO_2;Missing Function Level Access Control;GUEST;403;SECURE;2026-02-12T15:12:56Z;Access blocked
RUN_20260212T151250Z;SCENARIO_3;Weak Password Policy;ADMIN;201;VULNERABLE;2026-02-12T15:12:57Z;Account creation with weak password accepted
RUN_20260212T151250Z;SCENARIO_3;SQL Injection (Admin Account Takeover);ADMIN;200;VULNERABLE;2026-02-12T15:12:57Z;SQLi Login Bypass successful
RUN_20260212T151250Z;SCENARIO_3;MFA Enforcement Check;ADMIN;MFA_OK;SECURE;2026-02-12T15:12:57Z;Protected by Azure MFA (Claim 'amr: mfa' verified)
RUN_20260212T151250Z;SCENARIO_3;Context-Based Access Control (Geo);ADMIN;200;VULNERABLE;2026-02-12T15:12:57Z;Login accepted from suspicious IP (No Geo-IP blocking)
RUN_20260212T151250Z;SCENARIO_3;Vertical Privilege Escalation;ADMIN;200;NORMAL;2026-02-12T15:12:57Z;Legitimate access
RUN_20260212T151250Z;SCENARIO_3;Credential Stuffing / Weak Account;ADMIN;200;VULNERABLE;2026-02-12T15:12:58Z;USER account compromised (OSINT)
RUN_20260212T151250Z;SCENARIO_3;Info Disclosure (Security Question);ADMIN;200;VULNERABLE;2026-02-12T15:12:58Z;Info leak: {'id': 1, 'question': 'Your el...
RUN_20260212T151250Z;SCENARIO_3;Weak Password Policy;STANDARD[1];201;VULNERABLE;2026-02-12T15:12:58Z;Account creation with weak password accepted
RUN_20260212T151250Z;SCENARIO_3;SQL Injection (Admin Account Takeover);STANDARD[1];200;VULNERABLE;2026-02-12T15:12:58Z;SQLi Login Bypass successful
RUN_20260212T151250Z;SCENARIO_3;MFA Enforcement Check;STANDARD[1];MFA_OK;SECURE;2026-02-12T15:12:58Z;Protected by Azure MFA (Claim 'amr: mfa' verified)
RUN_20260212T151250Z;SCENARIO_3;Context-Based Access Control (Geo);STANDARD[1];200;VULNERABLE;2026-02-12T15:12:59Z;Login accepted from suspicious IP (No Geo-IP blocking)
RUN_20260212T151250Z;SCENARIO_3;Vertical Privilege Escalation;STANDARD[1];403;SECURE;2026-02-12T15:12:59Z;Admin session bootstrap refused
RUN_20260212T151250Z;SCENARIO_3;Credential Stuffing / Weak Account;STANDARD[1];200;VULNERABLE;2026-02-12T15:12:59Z;USER account compromised (OSINT)
RUN_20260212T151250Z;SCENARIO_3;Info Disclosure (Security Question);STANDARD[1];200;NORMAL;2026-02-12T15:12:59Z;USER sees their own question
RUN_20260212T151250Z;SCENARIO_3;Weak Password Policy;STANDARD[2];201;VULNERABLE;2026-02-12T15:12:59Z;Account creation with weak password accepted
RUN_20260212T151250Z;SCENARIO_3;SQL Injection (Admin Account Takeover);STANDARD[2];200;VULNERABLE;2026-02-12T15:13:00Z;SQLi Login Bypass successful
RUN_20260212T151250Z;SCENARIO_3;MFA Enforcement Check;STANDARD[2];MFA_OK;SECURE;2026-02-12T15:13:00Z;Protected by Azure MFA (Claim 'amr: mfa' verified)
RUN_20260212T151250Z;SCENARIO_3;Context-Based Access Control (Geo);STANDARD[2];200;VULNERABLE;2026-02-12T15:13:00Z;Login accepted from suspicious IP (No Geo-IP blocking)
RUN_20260212T151250Z;SCENARIO_3;Vertical Privilege Escalation;STANDARD[2];403;SECURE;2026-02-12T15:13:00Z;Admin session bootstrap refused
RUN_20260212T151250Z;SCENARIO_3;Credential Stuffing / Weak Account;STANDARD[2];200;NORMAL;2026-02-12T15:13:00Z;Legitimate login (Self)
RUN_20260212T151250Z;SCENARIO_3;Info Disclosure (Security Question);STANDARD[2];200;VULNERABLE;2026-02-12T15:13:00Z;Info leak: {'id': 1, 'question': 'Your el...
RUN_20260212T151250Z;SCENARIO_3;Weak Password Policy;GUEST;401;SECURE;2026-02-12T15:13:01Z;Strict password policy enforced
RUN_20260212T151250Z;SCENARIO_3;SQL Injection (Admin Account Takeover);GUEST;401;SECURE;2026-02-12T15:13:01Z;SQL Injection blocked
RUN_20260212T151250Z;SCENARIO_3;MFA Enforcement Check;GUEST;401;SECURE;2026-02-12T15:13:01Z;MFA Required
RUN_20260212T151250Z;SCENARIO_3;Context-Based Access Control (Geo);GUEST;401;SECURE;2026-02-12T15:13:01Z;Geo-IP blocking active or request intercepted
RUN_20260212T151250Z;SCENARIO_3;Vertical Privilege Escalation;GUEST;403;SECURE;2026-02-12T15:13:01Z;Admin session bootstrap refused
RUN_20260212T151250Z;SCENARIO_3;Credential Stuffing / Weak Account;GUEST;401;SECURE;2026-02-12T15:13:01Z;Account protected
RUN_20260212T151250Z;SCENARIO_3;Info Disclosure (Security Question);GUEST;401;SECURE;2026-02-12T15:13:01Z;Security question masked
RUN_20260212T151250Z;SCENARIO_4;Server-Side Request Forgery (SSRF);ADMIN;500;VULNERABLE;2026-02-12T15:13:02Z;SSRF Triggered (Parsing Crash)
RUN_20260212T151250Z;SCENARIO_4;SQL Injection (Automated Fuzzing);ADMIN;200;VULNERABLE;2026-02-12T15:13:02Z;Repeated SQL Injection SUCCESSFUL
RUN_20260212T151250Z;SCENARIO_4;Server-Side Request Forgery (SSRF);STANDARD[1];500;VULNERABLE;2026-02-12T15:13:03Z;SSRF Triggered (Parsing Crash)
RUN_20260212T151250Z;SCENARIO_4;SQL Injection (Automated Fuzzing);STANDARD[1];200;VULNERABLE;2026-02-12T15:13:03Z;Repeated SQL Injection SUCCESSFUL
RUN_20260212T151250Z;SCENARIO_4;Server-Side Request Forgery (SSRF);STANDARD[2];500;VULNERABLE;2026-02-12T15:13:04Z;SSRF Triggered (Parsing Crash)
RUN_20260212T151250Z;SCENARIO_4;SQL Injection (Automated Fuzzing);STANDARD[2];200;VULNERABLE;2026-02-12T15:13:04Z;Repeated SQL Injection SUCCESSFUL
RUN_20260212T151250Z;SCENARIO_4;Server-Side Request Forgery (SSRF);GUEST;401;SECURE;2026-02-12T15:13:04Z;Guest blocked (401)
RUN_20260212T151250Z;SCENARIO_4;SQL Injection (Automated Fuzzing);GUEST;401;SECURE;2026-02-12T15:13:04Z;Attempts rejected
RUN_20260212T151250Z;SCENARIO_5;Stored Cross-Site Scripting (XSS);ADMIN;201;VULNERABLE (SUSPECTED);2026-02-12T15:13:05Z;Injection accepted (201) - No Admin token to verify
RUN_20260212T151250Z;SCENARIO_5;Stored Cross-Site Scripting (XSS);STANDARD[1];403;SECURE;2026-02-12T15:13:06Z;Injection blocked by WAF/Input Validation (Code 403)
RUN_20260212T151250Z;SCENARIO_5;Stored Cross-Site Scripting (XSS);STANDARD[2];403;SECURE;2026-02-12T15:13:07Z;Injection blocked by WAF/Input Validation (Code 403)
RUN_20260212T151250Z;SCENARIO_5;Stored Cross-Site Scripting (XSS);GUEST;0;UNKNOWN;2026-02-12T15:13:07Z;Captcha Solver Failed
